2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00117000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508318', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00002000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508319', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00115000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508320', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00094000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508321', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.04070000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508322', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.02758000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508323', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508324', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508325', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508326', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508327', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56841.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508328', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00230000, instrument=BTC/USDT, price=56841.36000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508329', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00200000, instrument=BTC/USDT, price=56841.36000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508330', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00200000, instrument=BTC/USDT, price=56841.36000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508331', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00200000, instrument=BTC/USDT, price=56841.36000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508332', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00170000, instrument=BTC/USDT, price=56841.36000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508333', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00030000, instrument=BTC/USDT, price=56844.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508334', makerOrderId='0', takerOrderId='0'}
